,index,tozeret_cd,tozar,kinuy_mishari,ramat_gimur,shnat_yitzur,degem_cd,kvuzat_agra_cd,nefah_manoa,mishkal_kolel,gova,hanaa_cd,hanaa_nm_x,automatic_ind,mispar_halonot_hashmal,halon_bagg_ind,galgaley_sagsoget_kala_ind,argaz_ind,merkav,sug_degem,delek_cd,delek_nm,mispar_dlatot,koah_sus,mispar_moshavim,bakarat_yatzivut_ind,kosher_grira_im_blamim,kosher_grira_bli_blamim,technologiat_hanaa_cd,technologiat_hanaa_nm,bakarat_stiya_menativ_ind,bakarat_stiya_menativ_makor_hatkana,nitur_merhak_milfanim_ind,nitur_merhak_milfanim_makor_hatkana,zihuy_beshetah_nistar_ind,bakarat_shyut_adaptivit_ind,zihuy_holchey_regel_ind,zihuy_holchey_regel_makor_hatkana,maarechet_ezer_labalam_ind,matzlemat_reverse_ind,hayshaney_lahatz_avir_batzmigim_ind,hayshaney_hagorot_ind,teura_automatit_benesiya_kadima_ind,shlita_automatit_beorot_gvohim_ind,shlita_automatit_beorot_gvohim_makor_hatkana,zihuy_matzav_hitkarvut_mesukenet_ind,zihuy_tamrurey_tnua_ind,zihuy_rechev_do_galgali,zihuy_tamrurey_tnua_makor_hatkana,bakarat_stiya_activ_s,blima_otomatit_nesia_leahor,bakarat_mehirut_isa,n_model,Unnamed: 0,make,model,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ,hanaa_nm_y
0,3556,722,ב מ וו,X5 XDRIVE 30D,LUXURY,2013,1,7,2993,2780,190.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,258,5,1,2220,750,,הנעה רגילה,0,,0,,0,0,0,,1,1,1,0,0,0,,0,0,0,,0,0,0,X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3557,722,ב מ וו,X5 XDRIVE 30D,LUXURY,2014,1,7,2993,2780,190.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,258,5,1,2220,750,,הנעה רגילה,0,,0,,0,0,0,,1,1,1,0,0,0,,0,0,0,,0,0,0,X5,1016.0,ב.מ.וו,X5,2014.0,5.0,5.0,--,7.0,--,--,אחודה,2013,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,2993.0,258.0,4000,57.1,1500,6.9,230,14,17.5,16.1,--,--,--,--,--,13,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1.0,1.0,--,0.0,0.0,0.0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,650,1870,2145,0.0,0.0,255/50R19,85,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1.0,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,"7 מקומות ישיבה, מצלמות היקפיות, תצוגה עילית של נתוני הנסיעה על השמשה הקדמית, מסכים במושבים האחוריים, מערכת ראיית לילה, בקרת שיוט אקטיבית, אזהרת סטיה מנתיב, חישוקים מוגדלים",4X4
2,3558,722,ב מ וו,X5 XDRIVE 30D,LUXURY,2015,1,7,2993,2780,190.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,258,5,1,2220,750,,הנעה רגילה,0,,0,,0,0,0,,1,1,1,0,0,0,,0,0,0,,0,0,0,X5,1035.0,ב.מ.וו,X5,2015.0,5.0,5.0,--,7.0,--,--,אחודה,2013,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו דיזל,6,2993.0,258.0,4000,57.1,1500,6.9,230,14,17.5,16.1,--,--,--,--,--,14,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1.0,1.0,--,0.0,0.0,0.0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,650,1870,2145,0.0,0.0,255/50R19,85,מקורית + שליטה מההגה,יש,אין,יש,--,אין,USB + AUX,--,--,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1.0,יש,עור,יש  + זכרון,אין,--,"קסנון, כולל אור גבוה (בי-קסנון)",יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,"7 מקומות ישיבה, מצלמות היקפיות, תצוגה עילית של נתוני הנסיעה על השמשה הקדמית, מסכים במושבים האחוריים, מערכת ראיית לילה, בקרת שיוט אקטיבית, אזהרת סטיה מנתיב, חישוקים מוגדלים",4X4
3,3559,722,ב מ וו,X5 3.0I,,2004,10,7,2979,2635,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,1,בנזין,5,231,5,0,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3560,722,ב מ וו,X4 XDRIVE 20D,SPORT,2016,15,7,1995,2335,170.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,190,5,1,1895,750,,הנעה רגילה,1,יצרן,1,יצרן,0,0,1,יצרן,1,0,1,0,0,0,,0,0,0,,0,0,0,X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3561,722,ב מ וו,X5 3.0D,,2004,20,7,2993,2685,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,218,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3562,722,ב מ וו,X5 3.0D,,2005,20,7,2993,2685,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,218,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3563,722,ב מ וו,X5 3.0D,,2006,20,7,2993,2685,175.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,2,דיזל,5,218,5,1,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3564,722,ב מ וו,X5 XDRIVE 40E,EXCLUSIVE,2016,25,7,1997,2980,170.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,7,חשמל/בנזין,5,313,5,1,2700,750,2.0,PLUG IN,1,יצרן,1,יצרן,1,1,1,יצרן,1,1,1,0,0,1,יצרן,1,0,0,,0,0,0,X5,1020.0,ב.מ.וו,X5,2016.0,5.0,5.0,--,7.0,12640,--,אחודה,2013,כפולה (4X4),אוטומטית - טיפטרוניק,8,היברידי נטען (בנזין),4,1997.0,313.0,5000,45.9,1250,6.8,210,--,--,29.4,--,--,--,--,--,2,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1.0,1.0,--,0.0,0.0,1.0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,500,1720,2305,0.0,0.0,"ק' - 275/40R20, א' - 315/35R20",85,מקורית + שליטה מההגה,יש,אין,יש,--,יש,USB + AUX,--,--,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1.0,כולל שמירת מרחק,עור,יש  + זכרון,אין,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,--,4X4
9,3565,722,ב מ וו,X5 XDRIVE 40E,EXCLUSIVE,2017,25,7,1997,2980,170.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,7,חשמל/בנזין,5,313,5,1,2700,750,2.0,PLUG IN,1,יצרן,1,יצרן,1,1,1,יצרן,1,1,1,0,0,1,יצרן,1,0,0,,0,0,0,X5,1042.0,ב.מ.וו,X5,2017.0,5.0,5.0,--,7.0,12640,--,אחודה,2013,כפולה (4X4),אוטומטית - טיפטרוניק,8,היברידי נטען (בנזין),4,1997.0,313.0,5000,45.9,1250,6.8,210,--,--,29.4,--,--,--,--,--,2,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,1.0,1.0,--,0.0,0.0,1.0,--,--,--,--,--,--,--,--,--,--,488.6,193.8,176.2,293.3,500,1720,2305,0.0,0.0,"ק' - 275/40R20, א' - 315/35R20",85,מקורית + שליטה מההגה,יש,אין,יש,--,יש,USB + AUX,--,--,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1.0,כולל שמירת מרחק,עור,יש  + זכרון,אין,--,קסנון,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,--,--,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,--,--,--,--,--,--,--,--,--,--,--,4X4
